의원명,제목,언론사,링크,발행일,요약,관련보도수
강선영,"한 총리, '미필이라 국방 무지' 지적에 ""애국심 없다 생각 안해""",mbn.mk.co.kr,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=5218391,2026-09-10,민주당 미필 의원 지적에 한 총리 반박,1
강선영,"여야, 외교·안보 대정부질문서 충돌…대일외교부터 호르무즈 파병까지",kgnews.co.kr,https://www.kgnews.co.kr/news/article.html?no=911168,2026-09-10,외교안보 대정부질문서 주적 개념 따져 물어,1
강선영,“한미동맹·자주국방…하나만 선택할 문제 아냐”,kyeongin.com,https://www.kyeongin.com/article/1770630,2026-09-10,한미동맹과 자주국방 강조하며 주적 논란 제기,1
강선영,"'민주당 다수 미필' 지적에…한성숙 ""안 갔다고 애국심 없나""",newstomato.com,http://www.newstomato.com/ReadNews.aspx?no=1313314&inflow=N,2026-09-10,외교통일안보 분야 대정부질문 실시,1
강선영,"강선영 ""전작권 전환 자체가 목적돼선 안 돼""…韓총리와 안보 공방",daily.hankooki.com,https://daily.hankooki.com/news/articleView.html?idxno=1404973,2026-09-10,전작권 전환 목적성 지적하며 안보 공방,1
강선영,"용혜인 기자회견에 격앙...野 ""국민에 대한 정면 도전""",pennmike.com,https://www.pennmike.com/news/articleView.html?idxno=127546,2026-09-10,민주당의 청문회 핵심증인 채택 거부 비판,1
강선영,"韓총리, '與다수 군대안가 국방 무지' 비판에 ""애국심 없지않다""",yna.co.kr,https://www.yna.co.kr/view/AKR20260910146800001?input=1195m,2026-09-10,민주당 미필 의원 비판에 한 총리 답변,1
강선영,"강선영 ""이 대통령 포함 군 모르면 가만히 계시라, 무식의 소치""",ohmynews.com,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003266356&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,2026-09-10,대정부질문서 안보 관련 정부 비판,1
강선영,"전작권·사관학교 통합 놓고…여야, 안보정책 정면충돌",cctoday.co.kr,https://www.cctoday.co.kr/news/articleView.html?idxno=2236570,2026-09-10,외교안보 대정부질문서 여야 정면 충돌,1
강선영,"한 총리, ‘군대 안 가 국방 무지’ 지적에 “그렇다고 애국심 없는 것...",ichannela.com,https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000549761,2026-09-10,주적 규정 및 병역 관련 대정부질문 공방,1
강명구,"국힘 강명구, 경찰 바디캠 1만 4000 대 중국산 ‘라벨갈이’ 의혹 제기…...",kbsm.net,https://www.kbsm.net/news/view.php?idx=533711,2026-09-10,경찰 바디캠 납품 중국산 의혹 제기,1
강명구,"""장관·의원 겸직은 특권 누리기""…강명구 '비례 배지 반납법' 발의",news1.kr,https://www.news1.kr/local/daegu-gyeongbuk/6286677,2026-09-10,비례 배지 반납법 대표 발의,1
김성환,6년 연속 '국감 단골' 배달의 만족…김범석 '최혜대우...,srtimes.kr,http://www.srtimes.kr/news/articleView.html?idxno=211940,2026-09-10,배달앱 최혜대우 문제 지적,1
김용민,"민생은 뒷전, 검찰개혁 셈법 다툼에 매몰된 정치권",imaeil.com,https://www.imaeil.com/page/view/2026090918014220086,2026-09-10,공소청 직제안 및 사법통제부 비판,1
김동아,의사 출신 한지아·청문위원 손솔이 본 김승원·용혜인 논란,news.cpbc.co.kr,https://news.cpbc.co.kr/article/1175656?division=NAVER,2026-09-10,제넨셀 관련 청문회 증인 채택 공방,1
김동아,"與, 15일 김승원 청문회 증인 모두 거부… 野 “맹탕” 반발",seoul.co.kr,https://www.seoul.co.kr/news/politics/congress/2026/09/10/20260910005002?wlog_tag3=naver,2026-09-10,청문회 증인 거부 두고 여야 설전,1
김동아,법무장관 대행 “김승원 檢보고서 유출은 범죄… 수사해야”,segye.com,https://www.segye.com/newsView/20260909520500?OutUrl=naver,2026-09-10,검찰 보고서 유출 관련 고발 진행,1
김소희,“건설현장 산재 없애자” 마주앉은 원·하청…변화 물꼬 튼 노란봉투법,hani.co.kr,https://www.hani.co.kr/arti/society/labor/1277089.html,2026-09-10,노란봉투법 관련 하청노조 교섭 현황 점검,1
김영배,與 '파병 반대론' 분출… 국익 고려 자제해야,asiatoday.co.kr,https://www.asiatoday.co.kr/kn/view.php?key=20260909010003609,2026-09-10,라디오서 호르무즈 파병 반대 및 동맹국 협조 강조,1
김영배,국회(9월10일 목요일),newsis.com,https://www.newsis.com/view/NISX20260909_0003783362,2026-09-10,아동친화도시 입법 관련 기자회견 진행,1
김영배,“이란 타깃 될 것” “대북 억지력 약화”… 군도 여권도 파병 우려,seoul.co.kr,https://www.seoul.co.kr/news/politics/diplomacy/2026/09/10/20260910004003?wlog_tag3=naver,2026-09-10,라디오서 호르무즈 파병 개인적 반대 표명,1
김승원,"與, 15일 김승원 청문회 증인 모두 거부… 野 “맹탕” 반발",seoul.co.kr,https://www.seoul.co.kr/news/politics/congress/2026/09/10/20260910005002?wlog_tag3=naver,2026-09-10,법사위서 장관 후보자 청문회 증인 채택 불발,1
강대식,"공사비 검증 23조인데...사후 관리도, 법적 책임도 없다",fnnews.com,https://www.fnnews.com/news/202609091641543491,2026-09-10,공사비 검증 규모 4조원 돌파 지적,1
김원이,"파병·개각 두고 민주당 내 이견 속출...""자제 요청보다 조율...",newspim.com,https://www.newspim.com/news/view/20260909000953,2026-09-10,호르무즈 파병 관련 개별 대응 자제 요청,1
김상훈,토큰증권 시행 앞두고 '상품 부족' 풀릴까…與 법안 주목,yna.co.kr,https://www.yna.co.kr/view/AKR20260909177000002?input=1195m,2026-09-10,비금전 재산 신탁 수익증권 법안 발의,1
김용민,"김민석, 정청래 제안에 “공소청 기득권 살필 것”…강성층 달래기",joongang.co.kr,https://www.joongang.co.kr/article/25460602,2026-09-10,공소청 기득권 관련 비판 발언,1
김용민,與 내부 커지는 '파병 신중론'…오늘 외교안보 대정부질문 주목,newsis.com,https://www.newsis.com/view/NISX20260909_0003783103,2026-09-10,해외 파병 신중론 및 반대 주장,1
강명구,“장관·의원 겸직은 정치적 탐욕”…강명구 ‘비례 배지 반납법’ 발의,joongang.co.kr,https://www.joongang.co.kr/article/25460815,2026-09-10,비례 배지 반납법 대표 발의,1
강선영,대정부질문 이틀차…호르무즈·대미투자·3軍 사관학교 통합 등 여야 격...,news1.kr,https://www.news1.kr/politics/assembly/6285250,2026-09-10,외교통일안보 분야 대정부질문 참석,1
김용민,의사 출신 한지아·청문위원 손솔이 본 김승원·용혜인 논란,news.cpbc.co.kr,https://news.cpbc.co.kr/article/1175656?division=NAVER,2026-09-10,검사 조직 및 수사권 관련 질의,1
강준현,"與, 李 프랑스 순방 성과 엄호…한동훈엔 ""검찰자료 유출 수사해야""",m-i.kr,https://www.m-i.kr/news/articleView.html?idxno=1412288,2026-09-10,2차 상법 개정안 시행 관련 재계 경고,1
강경숙,"강경숙의원 등 10인, 초·중등교육법 일부개정법률안 제안",lawissue.co.kr,http://www.lawissue.co.kr/view.php?ud=202609100904525424b50722e900_12,2026-09-10,초·중등교육법 일부개정법률안 발의,1
강득구,"법무부, 교정청 신설·출입국본부장 차관급 격상 논의…조직개편 토론회",news1.kr,https://www.news1.kr/society/court-prosecution/6286787,2026-09-10,법무 조직 개편 방향 정책토론회 개최,1
강득구,“교정본부 독립 외청 전환해 ‘교정청’ 신설해야”…법무부 토론회,biz.chosun.com,https://biz.chosun.com/topics/law_firm/2026/09/10/3KJXMKWSY5FJZACAYKXLI4YUUI/?utm_source=naver&utm_medium=original&utm_campaign=biz,2026-09-10,법무 조직 개편 방향 정책토론회 개최,1
강득구,"“교정청 설립, ‘다시 피해자 생기지 않을 책임’ 위한 조직 돼야”",segye.com,https://www.segye.com/newsView/20260910515859?OutUrl=naver,2026-09-10,법무 조직 개편 방향 정책토론회 개최,1
강득구,"과밀수용에 재범·인력부족까지…법무부, 교정청 신설 필요성 제기",ntoday.co.kr,https://www.ntoday.co.kr/news/articleView.html?idxno=129292,2026-09-10,법무 조직 개편 방향 정책토론회 개최,1
강득구,"""교정청 만들고 출입국본부장 차관급 격상해야""…법무부 토론회",yna.co.kr,https://www.yna.co.kr/view/AKR20260910134400004?input=1195m,2026-09-10,정부조직법 개정안 토론회 개최,1
강득구,"법무부, 국회서 정책토론회 개최...교정청 신설·이민본부 차관급 격상...",ajunews.com,https://www.ajunews.com/view/20260910152849358,2026-09-10,법무부 정책토론회 주최,1
강득구,지방의회법 6건 국회 계류…연내 제정 촉구,naeil.com,https://www.naeil.com/news/read/601856?ref=naver,2026-09-10,지방의회법 연내 제정 촉구,1
강명구,"강명구 의원, 경찰 바디캠 ‘중국산 라벨갈이’ 의혹",view.asiae.co.kr,https://view.asiae.co.kr/article/2026091010161149404,2026-09-10,경찰 바디캠 중국산 라벨갈이 의혹 제기,1
강선영,"韓총리·野, 대정부질문서‘주적·병역’ 공방…전작권 놓고도 갈등",asiatime.co.kr,https://www.asiatime.co.kr/article/20260910500378,2026-09-10,대정부질문서 주적 및 전작권 공방,1
강선영,"호르무즈 파병 놓고 여야 ‘신중론’…정부 “결정된 바 없어, 공급망 ...",etoday.co.kr,https://www.etoday.co.kr/news/view/2624181,2026-09-10,한미동맹 및 전작권 전환 집중 질의,1
강선영,"국힘 ""증인 김현지"" 요구에 민주당 반대…용혜인 청문회 안갯속",sidae.com,https://www.sidae.com/article/2026091015054029762,2026-09-10,청문회 증인 채택 촉구 기자회견,1
김대식,"위기 학생 못 찾고, 찾아도 지원 끊긴다…학교 정신건강 안전망 곳곳 빈...",ilyo.co.kr,https://ilyo.co.kr/?ac=article_view&entry_id=512657,2026-09-10,학교 정신건강 안전망 실태 자료 공개,1
김기현,"김기현 의원, 불법 폐기물 성·복토 차단 법제화 추진",kdpress.co.kr,https://www.kdpress.co.kr/news/articleView.html?idxno=208514,2026-09-10,불법 폐기물 성복토 차단 법안 추진,1
김기현,불법 폐기물 성·복토 5년간 75건…근절 위한 제도 개선 논의,m-i.kr,https://www.m-i.kr/news/articleView.html?idxno=1412523,2026-09-10,불법 폐기물 성복토 제도 개선 논의,1
김기현,"외국인 산업재해 보험 지급액 3000억... 2년 새 4배, 산재보험 재...",hankookilbo.com,https://www.hankookilbo.com/news/article/A2026091010220002564?did=NA,2026-09-10,외국인 산재보험 지급액 급증 지적,1
김남근,'음의 괴리율' 72일 공백까지…'레버리지 ETF' 내일 국회서 따진다,news.tf.co.kr,https://news.tf.co.kr/read/economy/2364555.htm,2026-09-10,경제분야 대정부질문 질의자로 참여,1
김남근,쿠폰 끝나도 살아남을까… 공공배달앱의 다음 숙제,fortunekorea.co.kr,https://www.fortunekorea.co.kr/news/articleView.html?idxno=53946,2026-09-10,공공배달앱 토론회 공동 주최,1
김남희,"與, '선관위 특검 파견검사 수사권 삭제' 법안냈다가 철회",yna.co.kr,https://www.yna.co.kr/view/AKR20260910140900001?input=1195m,2026-09-10,선관위 특검법안 발의 후 철회,1
김남희,"민주당, '파견검사 수사권 박탈' 발의…선관위 특검 ""업무에 지장 줄 것...",sisafocus.co.kr,http://www.sisafocus.co.kr/news/articleView.html?idxno=364809,2026-09-10,파견검사 수사권 박탈 법안 공동발의,1
김남희,“금융도 국민의 기본권 중 하나” 與 토론회서 ‘국민기초금융보장법...,biz.chosun.com,https://biz.chosun.com/policy/politics/assembly/2026/09/10/5B6RIRWYKRB4XO6EPIJG2L2EZI/?utm_source=naver&utm_medium=original&utm_campaign=biz,2026-09-10,국민기초금융보장법 제정 토론회 참석,1
김남희,"""4년간 외국인보호소 구금 아동 84명…94%가 보호자 없이 구금""",yna.co.kr,https://www.yna.co.kr/view/AKR20260910129300371?input=1195m,2026-09-10,보호자 미동반 이주 아동 구금 대안 토론회 개최,1
김남희,저신용 취약계층 ‘금융기본권’ 보장…국회서 ‘국민기초금융...,segyebiz.com,http://www.segyebiz.com/newsView/20260910509809?OutUrl=naver,2026-09-10,저신용 취약계층 금융기본권 보장 입법 지원,1
김남희,김엘림 제5대 제주여성가족연구원장 임명 외,womennews.co.kr,https://www.womennews.co.kr/news/articleView.html?idxno=281999,2026-09-10,강간죄 개정 및 평등문화 관련 토론회 주최,1
김대식,"장동혁 국민의힘 대표 ""기술 종속은 안보 종속… 규제 걷어내고 'AI 주권...",tournews21.com,https://www.tournews21.com/news/articleView.html?idxno=143176,2026-09-10,AI 주권 및 미래사회 컨퍼런스 주최,1
김도읍,"김도읍 ""가덕신공항 공사비 현실화, 대통령 나서야""…정부 부처 '핑퐁' ...",nocutnews.co.kr,https://www.nocutnews.co.kr/news/6576270?utm_source=naver&utm_medium=article&utm_campaign=20260910034108,2026-09-10,가덕신공항 공사비 현실화 대통령 촉구,1
강선우,"성평등가족부 장관, 상징성보다 전문성이 먼저다",idomin.com,https://www.idomin.com/news/articleView.html?idxno=2014599,2026-09-10,성평등가족부 장관 후보자 자진 사퇴,1
김도읍,"김도읍 의원, 부산 강서구에 차세대 항공부품 실증거점 구축…첨단제조...",fntoday.co.kr,https://www.fntoday.co.kr/news/articleView.html?idxno=392719,2026-09-10,부산 강서구 차세대 항공부품 실증거점 구축,1
김도읍,부처 핑퐁에 표류하는 가덕신공항 공사비…김도읍 “대통령이 나서야”,busan.com,https://www.busan.com/view/busan/view.php?code=2026091015030612245,2026-09-10,가덕신공항 공사비 문제 해결 촉구,1
김동아,"민주당, 선관위 특검법 개정 철회…한 시간만에 태도 돌변",sisafocus.co.kr,http://www.sisafocus.co.kr/news/articleView.html?idxno=364814,2026-09-10,선관위 특검법 개정안 공동발의,1
김동아,시장은 '새벽'을 열겠다는데…정부는 '장벽' 세워,etnews.com,https://www.etnews.com/20260910000135,2026-09-10,유통산업발전법 개정안 대표발의,1
김동아,"민주당, '파견검사 수사권 박탈' 발의…선관위 특검 ""업무에 지장 줄 것...",sisafocus.co.kr,http://www.sisafocus.co.kr/news/articleView.html?idxno=364809,2026-09-10,파견검사 수사권 박탈 법안 공동발의,1
김동아,"국회 인사청문회 일정·증인 놓고 여야, 대치 속 신경전 최고조",chungnamilbo.co.kr,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=908876,2026-09-10,한동훈 의원 관련 의혹 제기 비판,1
김문수,방학·명절 앞두고 휴직 중인 정규 교사의 ‘얌체복직’ 논란 : 기간제 ...,huffingtonpost.kr,https://www.huffingtonpost.kr/article/260377,2026-09-10,교사 방학 중 조기 복직 현황 공개,1
김문수,"""휴직이지만 '상여금'은 내 꺼!""…교사 '얌체 복직' 한둘이 ...",news.sbs.co.kr,https://news.sbs.co.kr/news/endPage.do?news_id=N1008747095&plink=ORI&cooper=NAVER,2026-09-10,교사 얌체 조기 복직 자료 공개,1
김미애,주춤하던 국민연금 추납 다시 급증,hankyung.com,https://www.hankyung.com/article/2026091072951,2026-09-10,외국인 국민연금 추납 요건 강화 법안 발의,1
김미애,새만금 드라이브 걸지만… 입주계약 기업 18곳 ‘첫삽’도 못떴...,segye.com,https://www.segye.com/newsView/20260910516142?OutUrl=naver,2026-09-10,새만금산단 입주기업 미착공 현황 지적,1
김미애,수도권 '금싸라기' 공공택지 대기업이 86% 독식,edaily.co.kr,https://www.edaily.co.kr/News/Read?newsId=04480486645578808&mediaCodeNo=257&utm_source=naver&utm_medium=referral&utm_campaign=news_syndication&utm_content=original_article,2026-09-10,대기업 공공택지 독식 현황 공개,1
김미애,"""한 달 일하고 평생 연금 '따박따박'""...국민연금 추납, 2년새 3배 급증...",fnnews.com,https://www.fnnews.com/news/202609101117526422,2026-09-10,외국인 국민연금 추납 제한 법안 발의,1
김기현,"더 거세진 中공습 …""K반도체 원팀 대응 시급""",mk.co.kr,https://www.mk.co.kr/article/12149669,2026-09-10,K반도체 원팀 대응 촉구,1
김기표,한동훈 ‘불법 유출’ 겨눈 여권…김승원 ‘뇌물죄’ 겨눈 야권,naeil.com,https://www.naeil.com/news/read/601808?ref=naver,2026-09-10,후보자 관련 증인 채택 공방,1
김기표,"김승원 '증인 없는 청문회' 현실화…與, 한동훈엔 '자격정지법' 추진",sisajournal.com,https://www.sisajournal.com/news/articleView.html?idxno=386752,2026-09-10,여당의 증인 명단 공세 반박,1
김기표,"국회 인사청문회 일정·증인 놓고 여야, 대치 속 신경전 최고조",chungnamilbo.co.kr,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=908876,2026-09-10,야당의 증인 명단 요구 비판,1
강승규,"강승규 의원 "" 해경 제 2 의 거제왕 우려""",ppss.kr,https://www.ppss.kr/news/articleView.html?idxno=309972,2026-09-10,해경 보완수사 요구 건수 급증 지적,1
강승규,"""보완수사 폭증·마약사건 번복·장기근무 고착화...해경, '제2의 거제왕...",weekly.hankooki.com,https://weekly.hankooki.com/news/articleView.html?idxno=7183537,2026-09-10,해경 초기 수사 부실 및 장기 근무자 질타,1
강승규,"강승규 의원, 보완수사 폭증·마약사건 번복에 장기근무 고착화까지... ...",chungnamilbo.co.kr,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=908860,2026-09-10,해경 보완수사 폭증 및 마약사건 번복 지적,1
강준현,"강준현 의원, 보훈 위탁병원 관리체계 마련 '보훈 8법' 대표발의",pointdaily.co.kr,https://www.pointdaily.co.kr/news/articleView.html?idxno=318807,2026-09-10,보훈 위탁병원 관리체계 마련 '보훈 8법' 발의,1
강준현,"강준현 의원 ""깜깜이식 보훈 위탁병원 사후관리, 더 이상은 안된다""",breaknews.com,http://www.breaknews.com/1235714,2026-09-10,보훈 관련 8개 법률 개정안 대표발의,1
고동진,"""K-NPU 수출 확대, '풀스택 생태계' 구축이 열쇠""",itdaily.kr,https://www.itdaily.kr/news/articleView.html?idxno=241536,2026-09-10,K-NPU 수출 확대 정책토론회 주최,1
고동진,"""공공이 먼저 쓰고 수출 길 열어야""… 국산 NPU업계, 레퍼런스 확보 위한...",industrynews.co.kr,https://www.industrynews.co.kr/news/articleView.html?idxno=85826,2026-09-10,국산 NPU 수출 촉진 정책토론회 개최,1
고동진,“엔비디아 지배 벗어나려면 반도체 해외 실증부담 줄어야”,biz.heraldcorp.com,https://biz.heraldcorp.com/article/10869452?ref=naver,2026-09-10,엔비디아 지배력 극복 위한 반도체 지원 촉구,1
고동진,"토종 AI반도체 수출 확대 '레퍼런스'에 달렸다…""정부가 나서야""",mt.co.kr,https://www.mt.co.kr/future/2026/09/10/2026091015090761519,2026-09-10,토종 AI반도체 수출 확대를 위한 정부 지원 촉구,1
고동진,"'AI 시대 주도' 국산 NPU 수출확대 방안은…""실증·바우처 지원 필요""",view.asiae.co.kr,https://view.asiae.co.kr/article/2026091010351034876,2026-09-10,국산 NPU 수출 확대 방안 정책토론회 개최,1
고동진,"""K-팹리스, 해외 PoC 감당 한계""…마중물 정책 호소",zdnet.co.kr,https://zdnet.co.kr/view/?no=20260910115738,2026-09-10,국산 NPU 공공기관 선제 검증 호소,1
고민정,"학업역량 3위·마음건강 34위…유니세프, 아동정책 전환 촉구",fnnews.com,https://www.fnnews.com/news/202609101715035706,2026-09-10,유니세프와 아동정책 전환 촉구 기자회견,1
고민정,"“공부는 세계 3위, 행복은 34위” 유니세프 한국위원회, 아동 삶의 질 ...",thepowernews.co.kr,https://www.thepowernews.co.kr/view.php?ud=2026091017220580503dfcd109a8_7,2026-09-10,아동 예방적 마음건강 지원체계 구축 촉구,1
고민정,"유니세프 한국위원회, 한국 아동의 건강한 성장 위한 정책 과제 제안",ikoreanspirit.com,http://www.ikoreanspirit.com/news/articleView.html?idxno=87217,2026-09-10,아동 다층적 지원체계 마련 촉구,1
곽상언,[팩트TV 풀영상] 더불어민주당 곽상언 의원 정치분야 대정부질문...,facttv.kr,https://www.facttv.kr/news/articleView.html?idxno=50173,2026-09-10,정치분야 대정부질문 실시,1
곽상언,與 ‘불금민생단’ 선정 민생 정책 보니…국보법 재심 무죄 시 국가유공...,mk.co.kr,https://www.mk.co.kr/article/12149602,2026-09-10,국보법 재심 무죄자 국가유공자 선정 제안,1
곽상언,"한성숙 총리 ""호르무즈 해협 파병 결정된 것 없어...다각적 방안 검토""",ppss.kr,https://www.ppss.kr/news/articleView.html?idxno=309787,2026-09-10,호르무즈 해협 파병 입장 질의,1
곽상언,"한성숙 총리 ""한동훈 '녹취록 폭로' 매우 엄중···유출 경위·위법행위...",cnbnews.com,https://www.cnbnews.com/news/articleView.html?idxno=1015223,2026-09-10,경찰 수사권 독점 우려 표명,1
구자근,'음의 괴리율' 72일 공백까지…'레버리지 ETF' 내일 국회서 따진다,news.tf.co.kr,https://news.tf.co.kr/read/economy/2364555.htm,2026-09-10,레버리지 ETF 도입 경위 질의,1
권영진,"대법원 대구 이전 법안, 국회 바뀌어도 '제자리'",kyongbuk.co.kr,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4083859,2026-09-10,대법원 대구 이전 법안 발의,1
권칠승,"대법원 대구 이전 법안, 국회 바뀌어도 '제자리'",kyongbuk.co.kr,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4083859,2026-09-10,대법원 대구 이전 법안 공동대표발의,1
김건,"""내로남불 용혜인에 증인 필요""…국힘, 김현지·강훈식 등 28명 채택 촉...",news.tf.co.kr,https://news.tf.co.kr/read/ptoday/2364344.htm,2026-09-10,야당 간사 등 증인 채택 촉구 기자회견,1
김교흥,"韓총리 ""올 상반기 자살 10% 이상 줄었다…모든 수단 총동원""",news1.kr,https://www.news1.kr/bio/welfare-medical/6286757,2026-09-10,자살예방포럼 입장 밝혀,1
김기표,"민주당, 선관위 특검법 개정 철회…한 시간만에 태도 돌변",sisafocus.co.kr,http://www.sisafocus.co.kr/news/articleView.html?idxno=364814,2026-09-10,선관위 특검법 개정안 공동발의,1
김기표,"민주당, '파견검사 수사권 박탈' 발의…선관위 특검 ""업무에 지장 줄 것...",sisafocus.co.kr,http://www.sisafocus.co.kr/news/articleView.html?idxno=364809,2026-09-10,파견검사 수사권 박탈 법안 공동발의,1
김남근,6년 연속 '국감 단골' 배달의 만족…김범석 '최혜대우...,srtimes.kr,http://www.srtimes.kr/news/articleView.html?idxno=211940,2026-09-10,배달앱 최고 수수료율 문제 지적,1
김미애,보험료 몰아 내 평생 연금 '폭증'… 외국인 수급자도 10년 새 83배,daejonilbo.com,https://www.daejonilbo.com/news/articleView.html?idxno=2300160,2026-09-10,외국인 국민연금 추납 제한 법안 발의,1
김영진,"예산군의회, 2026년도 2일차 행정사무감사 실시",newstnt.com,https://www.newstnt.com/news/articleView.html?idxno=717618,2026-09-10,민원 선제적 처리로 군민 만족도 제고 주문,1
김문수,정규 교사 '얌체 복직'에 기간제 교사 피해 여전?…실태 살펴보니,news.sbs.co.kr,https://news.sbs.co.kr/news/endPage.do?news_id=N1008746143&plink=ORI&cooper=NAVER,2026-09-10,정규 교사 방학기간 얌체 복직 실태 지적,1
강선영,국회 대정부질문 이틀차…호르무즈·대미투자 공방,shinailbo.co.kr,https://www.shinailbo.co.kr/news/articleView.html?idxno=5060673,2026-09-10,대정부질문서 외교안보 현안 공방,1
강선영,호르무즈 파병부터 대미투자까지…대정부질문 이틀째 외교안보 격돌,mt.co.kr,https://www.mt.co.kr/politics/2026/09/10/2026091007392420787,2026-09-10,외교안보 분야 대정부질문 실시,1
강승규,"보완수사 급증·'붙박이' 구태 여전... 해경, 신뢰 급락",ccnnews.co.kr,http://www.ccnnews.co.kr/news/articleView.html?idxno=414733,2026-09-10,해경 보완수사 요구 급증 지적,1
강승규,해경 보완수사 요구 올해 212건…10년 넘게 한 관서 근무 862명,pointe.co.kr,https://www.pointe.co.kr/news/articleView.html?idxno=84530,2026-09-10,해경 보완수사 요구 및 장기 근무 지적,1
강승규,해경 보완수사 요구 급증…마약사건 3건 ‘불송치→송치’,dnews.co.kr,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202609101017129470419,2026-09-10,해경 보완수사 요구 건수 급증 질의,1
