구분,id,사건명,사건번호,날짜,기관법원,사건종류,AI요약,과징금,형량,원심참조,상세링크,조치유형
의결서,19373,드래곤하우스의 전자상거래소비자보호법 위반행위에 대한 건,2024서소2157,2026.7.20.,공정거래위원회,,드래곤하우스가 소비자의 정당한 청약철회에도 불구하고 3영업일 이내에 상품 대금을 환급하지 않아 행위금지명령 및 대금·지연이자 지급명령이 부과됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19373&type=HTML,시정명령
의결서,19335,8개 소프트웨어 판매사업자의 부당한 공동행위에 대한 건,2023서카1306,2026.7.2.,공정거래위원회,,8개 소프트웨어 판매사업자의 부당한 공동행위에 대한 건임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19335&type=HTML,
의결서,19357,한국전력공사 발주 합성수지파형관 구매 입찰 관련 3개 조합 및 7개 사업자의 부당한 공동행위에 대한 건,"2021입담1504, 2025입담0394",2026.7.16.,공정거래위원회,,한국전력공사 발주 합성수지파형관 구매 입찰에서 3개 조합과 7개 사업자가 부당한 공동행위를 함.,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19357&type=HTML,
의결서,19323,㈜시알홀딩스의 지주회사 행위제한규정 위반행위에 대한 건,2024집단1802,2026.7.14.,공정거래위원회,,㈜시알홀딩스가 지주회사 전환 후 국내 비계열회사 주식을 5% 초과 소유하고 주식가액 합계액이 자회사 주식가액 합계액의 15% 이상인 기간이 발생하여 지주회사 행위제한규정을 위반함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19323&type=HTML,
의결서,19285,㈜계담종합건설의 시정조치불이행에 대한 건,2026부사0343,2026.7.14.,공정거래위원회,,계담종합건설이 하도급대금 및 지연이자를 지급하라는 위원회의 시정조치를 이행하지 않아 피심인들이 고발됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19285&type=HTML,고발
의결서,19305,㈜별빛강물의 가맹사업법 위반행위에 대한 건 관련 의결서 경정 결정에 대한 건,2026카심1525,2026.7.13.,공정거래위원회,,"정보공개서 제공확인서의 일부 사항을 자필로 작성하지 않고 제공하고, 정보공개서 제공일로부터 14일이 지나기 전에 가맹계약을 체결하였으며, 임원에 대한 형의 선고 사실이 누락된 정보공개서를 제공함",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19305&type=HTML,
의결서,19303,㈜별빛강물의 가맹사업법 위반행위에 대한 건 관련 의결서 경정 결정에 대한 건,2026카심1525,2026.7.13.,공정거래위원회,,"㈜별빛강물이 가맹희망자에게 자필 미기재 정보공개서 제공확인서 교부, 정보공개서 제공 14일 전 가맹계약 체결, 임원의 형 선고 사실이 누락된 정보공개서 제공 등 가맹사업법을 위반함",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19303&type=HTML,
의결서,19321,넥스큐브코퍼레이션㈜의 가맹사업법 위반행위에 대한 건,2023가조1638,2026.7.11.,공정거래위원회,,넥스큐브코퍼레이션㈜가 가맹점사업자를 대상으로 성과비례형 광고분담금 제도를 도입·실시한 사건임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19321&type=HTML,
의결서,19271,㈜라인건설의 불공정하도급거래행위에 대한 건,2024하조0852,2026.7.1.,공정거래위원회,,"㈜라인건설이 목적물 수령일로부터 60일을 초과하여 하도급대금을 지급하면서 지연이자 1,161,849천 원을 지급하지 않아 향후 재발방지명령 부과됨",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19271&type=HTML,시정명령
의결서,19277,디에이성형외과의 부당한 광고행위에 대한 건,2024서감2369,2026.7.1.,공정거래위원회,,피심인이 홈페이지에 성형수술 홍보모델들의 수술 후기를 게시하면서 경제적 대가를 지급받은 사실을 기재하지 않아 부당한 광고행위로 지적됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19277&type=HTML,
의결서,19307,에이비성형외과의원의 부당한 광고행위에 대한 건,2024서감2370,2026.7.1.,공정거래위원회,,에이비성형외과의원이 홍보모델에게 수술비용 할인 등 경제적 대가를 제공하고 미용의료 앱 및 자사 홈페이지 등에 후기 광고를 게재하면서 대가 지급 사실을 표시하지 않은 행위임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19307&type=HTML,시정명령
의결서,19315,쿠팡㈜ 및 씨피엘비㈜의 불공정하도급거래행위 관련 동의 의결에 대한 건,2025하조1777,2026.6.8.,공정거래위원회,,쿠팡㈜ 및 씨피엘비㈜의 불공정하도급거래행위와 관련하여 동의의결 절차가 개시되어 진행됨.,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19315&type=HTML,
의결서,19265,두산밥캣코리아(주)의 거래상 지위남용행위에 대한 건,2022대리1982,2026.6.5.,공정거래위원회,,두산밥캣코리아(주)가 대리점에 물적 담보 제공을 요구하는 등 거래상 지위남용행위를 한 사건임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19265&type=HTML,
의결서,19291,쿠팡(주)의 부당한 광고행위에 대한 건,2022안정1261,2026.6.4.,공정거래위원회,,"쿠팡(주)의 부당한 광고행위에 대한 건으로, 기초사실 및 시장현황 등을 다룸",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19291&type=HTML,
의결서,19297,㈜건룡건설의 불공정하도급거래행위에 대한 건,2024구사2336,2026.6.30.,공정거래위원회,,원사업자가 수급사업자에게 공기연장 변경계약서를 발급하지 않고 선급금을 지급하지 아니하여 하도급법을 위반함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19297&type=HTML,
의결서,19281,뷰성형외과의 부당한 광고행위에 대한 건,2024서감2368,2026.6.30.,공정거래위원회,,피심인이 홍보모델에게 수술비용 할인 등 경제적 대가를 제공하고 네이버 카페 및 자사 홈페이지에 추천보증 글을 게재하면서 경제적 이해관계 미표시함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19281&type=HTML,
의결서,19267,24개 사업자 발주 플라스틱 파렛트 입찰 관련 20개 사업자의 부당한 공동행위에 대한 건 관련 ㈜이건그린텍의 과징금 납부기한 연기 및 분할납부 신청에 대한 건,2026서카1320,2026.6.25.,공정거래위원회,,"㈜이건그린텍이 과징금 납부기한 연기 및 분할납부를 신청하였으며, 형식적 및 실체적 요건을 충족하여 과징금 납부기한 연기 및 6회 분할납부가 인용됨","10억 4,800만원",,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19267&type=HTML,"인용, 과징금"
의결서,19301,일진건설산업㈜의 불공정하도급거래행위에 대한 건,"2024전사1384, 2024전사2410",2026.6.24.,공정거래위원회,,일진건설산업㈜이 수급사업자들에게 선급금 및 선급금 지연이자를 미지급한 행위 등에 대한 건임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19301&type=HTML,
의결서,19283,23개 아파트 단지 발주 통합경비용역 입찰 관련 ㈜에스원 및 ㈜에스텍시스템의 부당한 공동행위에 대한 건,2025입담0438,2026.6.19.,공정거래위원회,,㈜에스원과 ㈜에스텍시스템이 23개 아파트 단지 발주 통합경비용역 입찰에서 부당한 공동행위를 한 건임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19283&type=HTML,
의결서,19247,과징금 납부기한 연장 및 분할납부 신청에 대한 건,2026광사1228,2026.6.17.,공정거래위원회,,"신청인이 과징금 납부기한 연장 및 6회 분할납부를 신청하였으며, 형식적 및 실체적 요건을 모두 충족하여 이를 허용함","2억 5,600만원",,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19247&type=HTML,"과징금, 인용"
의결서,19363,광주광역시 136개 중ㆍ고등학교 발주 교복구매 입찰 관련 27개 사업자의 부당한 공동행위에 대한 건 관련 김ㅇ의 과징금 납부기한 연기 및 분할납부 신청에 대한 건,2026광사1287,2026.6.15.,공정거래위원회,,"광주광역시 중고등학교 교복구매 입찰 관련 부당한 공동행위로 과징금을 부과받은 사업자가 과징금 납부기한 연기 및 분할납부를 신청하였으며, 요건을 충족하여 허용됨","1,700만원",,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19363&type=HTML,인용
의결서,19367,동의의결절차 개시신청에 대한 건,2026서감1099,2026.6.15.,공정거래위원회,,신청인의 동의의결절차 개시 신청에 대하여 신속한 집행 곤란 및 공익 부합성 부족 등의 이유로 기각 결정됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19367&type=HTML,기각
의결서,19345,(사)한국주유소협회 제주도지회의 사업자단체 금지행위에 대한 건 및 2개 구성사업자의 사업자단체 금지행위 참가행위에 대한 건,2024광사1337,2026.6.15.,공정거래위원회,,(사)한국주유소협회 제주도지회 및 2개 구성사업자의 사업자단체 금지행위에 해당함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19345&type=HTML,
의결서,19239,(사)대한산란계협회의 사업자단체 금지행위에 대한 건,2025제카1294,2026.6.15.,공정거래위원회,,(사)대한산란계협회의 사업자단체 금지행위에 대한 건의 기초사실 및 시장구조 등을 다룸,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19239&type=HTML,
의결서,19365,27개 사업자의 부당한 공동행위에 대한 건 관련 조ㅇㅇ의 이의신청에 대한 건,2026경심1296,2026.6.15.,공정거래위원회,,법정 이의신청 기간을 도과하여 제기된 이의신청은 요건을 구비하지 못하여 각하됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19365&type=HTML,각하
의결서,19183,메르세데스벤츠코리아(주) 및 메르세데스벤츠 악티엔게젤샤프트의 부당한 광고행위 및 부당한 고객유인행위에 대한 건,2024중점1684,2026.5.6.,공정거래위원회,,메르세데스벤츠코리아(주) 등의 부당한 광고 및 고객유인행위에 관한 사건의 기초사실 및 시장구조를 다룸.,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19183&type=HTML,
의결서,19287,우람종합건설(주)의 시정조치불이행에 대한 건,2025부사1551,2026.5.6.,공정거래위원회,,우람종합건설(주)이 하도급대금 등 지급 관련 공정거래위원회의 시정조치를 불이행하여 피심인들을 고발함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19287&type=HTML,고발
의결서,19379,씨제이대한통운(주)의 불공정하도급거래행위에 대한 건,2025신하1479,2026.5.6.,공정거래위원회,,씨제이대한통운(주)의 서면 지연발급 행위 및 부당특약 설정행위 등의 불공정하도급거래행위에 대한 건임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19379&type=HTML,
의결서,19241,대방건설(주)의 불공정하도급거래행위에 대한 건,2024하조0906,2026.5.4.,공정거래위원회,,대방건설㈜이 하도급계약에 하자담보 유보금 부당특약을 설정하고 이를 적용한 행위에 대한 건임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19241&type=HTML,
의결서,19333,학교법인 세화학원의 하도급대금 직접 지급의무 위반행위에 대한 건,2024구사1466,2026.5.31.,공정거래위원회,,학교법인 세화학원이 하도급대금 직접지급 합의 이후 수급사업자에게 하도급대금을 직접 지급하지 않아 법 위반으로 재발방지명령이 부과됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19333&type=HTML,
의결서,19227,㈜귀한사람들의 가맹사업법 등 위반행위에 대한 건,2023서가1911,2026.5.29.,공정거래위원회,,㈜귀한사람들이 납품업체로부터 수취한 경제적 이익을 정보공개서에 누락하여 기만적인 정보제공행위를 함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19227&type=HTML,
의결서,19243,(주)현대투어플랜의 할부거래법 위반행위에 대한 건,2025약특1610,2026.5.28.,공정거래위원회,,선불식 할부계약 해제에 따른 해약환급금 미지급 행위에 대해 행위금지명령 및 미지급 해약환급금 등 지급명령 부과됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19243&type=HTML,시정명령
의결서,19259,주식회사 보령의 기업결합 제한규정 위반행위에 대한 건,2026국결1029,2026.5.28.,공정거래위원회,,국내 도세탁셀 성분 항암제 시장에서 경쟁을 실질적으로 제한할 우려가 있는 기업결합에 대해 시정조치 부과됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19259&type=HTML,시정명령
의결서,19295,유강종합건설(주)의 시정조치불이행에 대한 건,2025광사2194,2026.5.22.,공정거래위원회,,유강종합건설(주)이 하도급대금 및 지연이자 지급에 대한 공정거래위원회의 시정조치를 불이행함에 따라 법인 및 대표이사를 고발함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19295&type=HTML,"시정명령, 고발"
의결서,19329,(주)우진산전의 불공정하도급거래행위에 대한 건,2024기조1080,2026.5.22.,공정거래위원회,,원사업자가 수급사업자에게 기술자료를 요구하면서 법정 서면을 교부하지 아니하여 기술자료 요구 시 서면 발급의무 위반 행위가 인정됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19329&type=HTML,
의결서,19249,제이비인터내셔널 및 올댓의 전자상거래소비자보호법 위반행위에 대한 건,2025전자1981,2026.5.21.,공정거래위원회,,제이비인터내셔널 및 올댓이 사이버몰 및 통신판매업자 신원 정보 표시 의무를 위반하고 기만적인 방법으로 소비자를 유인함에 따라 임시중지명령 등이 내려짐,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19249&type=HTML,
의결서,19225,(주)경동나비엔의 불공정하도급거래행위에 대한 건,2024하조1287,2026.5.18.,공정거래위원회,,경동나비엔이 수급사업자에게 보일러 부품 제조를 위탁하면서 수급사업자 또는 양 당사자의 직인이 누락된 단가합의서를 교부한 불공정하도급거래행위임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19225&type=HTML,
의결서,19293,(주)알로하앤코의 경고심의요청에 대한 건,2025서가1930,2026.5.15.,공정거래위원회,,가맹희망자에게 가맹계약서 제공 후 숙려기간 14일이 지나기 전에 가맹계약을 체결한 행위가 가맹사업법 제11조 제1항에 위반되어 경고 조치됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19293&type=HTML,경고
의결서,19219,다산건설엔지니어링㈜의 불공정하도급거래행위에 대한 건,2025신하1430,2026.5.15.,공정거래위원회,,"다산건설엔지니어링㈜이 수급사업자에게 건설공사를 위탁하면서 계약서면을 지연 발급하고 하도급대금 지급방법 등이 누락된 불완전 서면을 발급하였으며, 부당한 특약을 설정함.",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19219&type=HTML,
의결서,19369,트립닷컴 트래블 싱가포르 프라이빗 리미티드 및 ㈜트립닷컴코리아의 전자상거래소비자보호법 위반행위에 대한 건,2023서소2224,2026.5.14.,공정거래위원회,,트립닷컴 트래블 싱가포르 및 트립닷컴코리아가 통신판매업을 영위하면서 관련 신고를 하지 않은 행위임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19369&type=HTML,
의결서,19255,㈜반도건설의 경고심의요청에 대한 건,2025서건0223,2026.5.14.,공정거래위원회,,"㈜반도건설의 서면 발급의무 위반, 지연이자 미지급, 하도급대금 조정 협의의무 위반에 대하여 경고 처분함",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19255&type=HTML,경고
의결서,19221,우경건설㈜의 경고심의요청에 대한 건,2025서건1828,2026.5.14.,공정거래위원회,,"원사업자가 수급사업자의 하도급대금 조정 신청에 대해 10일 이내에 협의를 개시하지 아니하여 경고 처분을 받았고, 이에 대한 경고심의요청이 기각되어 원처분이 유지됨",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19221&type=HTML,경고
의결서,19235,로젠(주)의 불공정하도급거래행위에 대한 건,2025신하1500,2026.5.14.,공정거래위원회,,로젠(주)이 수급사업자에게 용역을 위탁하면서 서면을 지연 발급하고 부당한 특약을 설정한 불공정하도급거래행위에 해당함,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19235&type=HTML,
의결서,19207,인지컨트롤스㈜의 불공정하도급거래행위에 대한 건 관련 이의신청에 대한 건,2026기심0708,2026.5.14.,공정거래위원회,,"신청인이 수급사업자에게 하도급대금 관련 서면 발급의무를 위반하고 어음대체결제수수료 및 지연이자를 미지급한 행위에 대하여, 이의신청을 일부 받아들여 과징금 납부명령 등을 변경함","1억 4,400만 원",,원심결공정거래위원회 2026. 2. 25. 제2소회의 의결 제2026-031호,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19207&type=HTML,"시정명령, 과징금, 인용"
의결서,19237,(주)한진의 불공정하도급거래행위에 대한 건,2025신하1501,2026.5.14.,공정거래위원회,,"(주)한진이 수급사업자에게 용역을 위탁하면서 서면을 지연 발급하고, 수급사업자의 이익을 부당하게 침해하거나 제한하는 등의 부당한 특약을 설정한 행위가 하도급법에 위반됨",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19237&type=HTML,
의결서,19245,쌍용씨앤이(주)의 경고심의요청에 대한 건,2024서경1793,2026.5.14.,공정거래위원회,,쌍용씨앤이가 울산항운노조의 노무공급 중단에 따라 대리점에 포항이나 부산공장에서 시멘트를 공급받도록 제안한 행위가 대리점법상 불이익 제공행위에 해당하여 경고 조치됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19245&type=HTML,경고
의결서,19331,에이치디씨㈜의 부당한 지원행위에 대한 건,2023지원0015,2026.5.14.,공정거래위원회,,"에이치디씨㈜의 부당한 지원행위에 대한 사건으로, 아이파크몰 설립 이후 경영 위기 및 시장 구조 등이 다뤄짐",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19331&type=HTML,
의결서,19279,그린랜드센터제주(유)의 경고심의요청에 대한 건,2025서소0011,2026.5.12.,공정거래위원회,,그린랜드센터제주(유)가 제주 드림타워 복합리조트 분양광고에서 부가가치세를 제외한 순 공급금액 기준이라는 사실을 누락하여 기만 광고를 한 행위에 대해 경고 처분함.,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19279&type=HTML,경고
의결서,19273,롯데글로벌로지스(주)의 불공정하도급거래행위에 대한 건,2025신하1481,2026.5.11.,공정거래위원회,,"롯데글로벌로지스가 수급사업자에게 용역을 위탁하면서 서면을 지연 발급하고 부당한 특약(비용 전가, 무이자 현금 예치 등)을 설정한 행위에 대해 시정명령 등이 부과됨",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19273&type=HTML,시정명령
의결서,19233,롯데건설㈜의 불공정하도급거래행위에 대한 건,2025하조1352,2026.5.11.,공정거래위원회,,롯데건설㈜이 수급사업자에게 하도급대금을 법정기한 내에 지급하지 않아 향후 재발방지명령 부과됨,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19233&type=HTML,시정명령
의결서,19371,쿠팡로지스틱스서비스(유)의 불공정하도급거래행위에 대한 건,2025신하1534,2026.5.11.,공정거래위원회,,쿠팡로지스틱스서비스(유)가 수급사업자에게 용역을 위탁하면서 서면을 지연 발급하고 부당특약 설정행위를 함.,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19371&type=HTML,
의결서,19311,㈜시티건설의 불공정하도급거래행위에 대한 건,2024하조0861,2026.5.11.,공정거래위원회,,"㈜시티건설이 수급사업자에게 건설위탁을 하면서 계약서면을 지연 발급하고, 발주자로부터 받은 현금비율보다 낮은 비율로 하도급대금을 지급하는 등의 불공정하도급거래행위를 함",,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19311&type=HTML,
의결서,19105,㈜제이월드산업의 부당한 광고행위에 대한 건,2024서소0278,2026.4.9.,공정거래위원회,,제이월드산업이 대포 계정 등을 이용하여 경쟁업체인 크림하우스를 비방하고 자사 제품을 추천하는 댓글을 작성한 부당한 광고행위에 대한 건임,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19105&type=HTML,
의결서,19319,현대자동차(주) 및 기아(주) 발주 차량용 내장재 표면처리 입찰 관련 에스엠화진(주) 및 (주)한국큐빅의 부당한 공동행위에 대한 건,2024국카2422,2026.4.9.,공정거래위원회,,현대자동차 및 기아가 발주한 차량용 내장재 표면처리 입찰에서 에스엠화진과 한국큐빅이 사전에 낙찰예정자 및 투찰가격을 합의하고 실행함.,,,,https://www.law.go.kr/DRF/lawService.do?OC=jshssysh&target=ftc&ID=19319&type=HTML,
