의안ID,의안번호,법안명,카테고리,제안자,대표발의자,제안일,소관위원회,처리상태,처리단계,처리결과,상임위회부일,상임위처리일,상임위결과,법사위회부일,법사위처리일,법사위결과,상태변경,상세링크,AI요약,최종수집일
PRC_L2M6K0L8K2R6S1Q6Q2P5Q1O4O7X9V8,2220894,건축물관리법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 13인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2M6K0L8K2R6S1Q6Q2P5Q1O4O7X9V8,건축물 사용승인 이후 조경시설 등의 용도를 무단으로 변경하거나 훼손하는 행위를 처벌하는 규정을 신설합니다.,2026-08-30 09:18
PRC_Z2A6I0G7H2F7G1E0E2A5Z2Z0Y7Y6W8,2220893,의료·요양 등 지역 돌봄의 통합지원에 관한 법률 일부개정법률안,배정 안됨,"김성원의원(국민의힘(前 통합당), 3선, 경기 동두천시양주시연천구을) 등 11인",김성원,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2A6I0G7H2F7G1E0E2A5Z2Z0Y7Y6W8,군의 지역 돌봄 현장에서 간호조무사도 간호서비스 제공인력으로 포함하여 부족한 의료인력 문제를 완화합니다.,2026-08-30 09:18
PRC_P2O6M0N8L2M5T1U6S4R4R0Q1Q2M6N9,2220892,건설기술 진흥법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 11인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O6M0N8L2M5T1U6S4R4R0Q1Q2M6N9,건설현장에서 안전에 중대한 위험이 우려될 경우 공사감독자가 공사중지 명령을 의무적으로 내리도록 강제하고 불이행 시 처벌합니다.,2026-08-30 09:18
PRC_O2M6N0L8M2T5S1T6R4R6Q1Q9M8L7L3,2220891,주차장법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 13인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2M6N0L8M2T5S1T6R4R6Q1Q9M8L7L3,지자체장이 주차장 안전점검 결과 위해요소가 발견된 경우 관리자에게 시설 개선을 권고할 수 있는 근거를 마련합니다.,2026-08-30 09:18
PRC_J2J6I0I8H2H7F0G9O0M1N0L7M6K5S7,2220890,국가경찰과 자치경찰의 조직 및 운영에 관한 법률 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 10인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2J6I0I8H2H7F0G9O0M1N0L7M6K5S7,강력범죄 등의 초기 대응과 수사 전문성을 높이기 위해 각 경찰서에 범죄분석관 배치를 의무화합니다.,2026-08-30 09:18
PRC_F2D6Z0A8Y2Z5X1W6W4E2F0D7E9C6B9,2220889,개발제한구역의 지정 및 관리에 관한 특별조치법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 12인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2D6Z0A8Y2Z5X1W6W4E2F0D7E9C6B9,개발제한구역 내 불법행위의 원상복구 명령을 따르지 않을 경우 행정대집행을 실시할 수 있는 명확한 법적 근거를 마련합니다.,2026-08-30 09:18
PRC_J2H6I0D8E2D7D1B0A4B6I3J3H1I4G2,2220888,전남광주통합특별시 설치를 위한 특별법 일부개정법률안,배정 안됨,"양부남의원(민주당, 초선, 광주 서구을) 등 14인",양부남,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2H6I0D8E2D7D1B0A4B6I3J3H1I4G2,전남광주통합특별시의 미래 성장동력 확보를 위해 통합지방정부지원기금을 설치하고 효율적으로 관리·운용하도록 합니다.,2026-08-30 09:18
PRC_H2G6G0E8F2N5O1M4N1L9J0K5F3G8F2,2220887,환경오염시설의 통합관리에 관한 법률 일부개정법률안,배정 안됨,"이용우의원(민주당, 초선, 인천 서구을) 등 10인",이용우,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2G6G0E8F2N5O1M4N1L9J0K5F3G8F2,"환경오염시설 통합허가 시 온실가스 감축, 에너지 및 자원 순환 등의 사항을 허가 조건으로 함께 고려하도록 합니다.",2026-08-30 09:18
PRC_X2Y6X0V8V2U5U1C1B3B3Z2A7Z4Z7H0,2220886,응급의료에 관한 법률 일부개정법률안,배정 안됨,"김기웅의원(국민의힘, 초선, 대구 중구남구) 등 10인",김기웅,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2Y6X0V8V2U5U1C1B3B3Z2A7Z4Z7H0,야간 및 휴일에 소아환자를 진료하는 의료기관들이 순환진료를 할 수 있게 하고 국가와 지자체의 재정 지원을 의무화합니다.,2026-08-30 09:18
PRC_B2C6A0Y7Z2U3V1U8U4S0R5S5Z1A5Y9,2220885,변호사법 일부개정법률안,배정 안됨,"이해민의원(조국혁신당, 초선, 비례대표) 등 11인",이해민,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2C6A0Y7Z2U3V1U8U4S0R5S5Z1A5Y9,"온라인 플랫폼 등 새로운 매체에서의 변호사 광고를 허용하고, 광고 심사 업무를 법무부 소관으로 이관하여 공공성을 높입니다.",2026-08-30 09:18
PRC_H2Q6Q0O8P2N5M1N6U4V3T0U1T0R7R4,2220884,건설기계관리법 일부개정법률안,배정 안됨,"황운하의원(조국혁신당(前 민주당), 재선, 비례대표) 등 12인",황운하,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2Q6Q0O8P2N5M1N6U4V3T0U1T0R7R4,소형건설기계 조종사 교육과정을 부실하게 운영하거나 허위로 이수증을 발급한 교육기관을 지정 취소하거나 영업을 정지할 수 있게 합니다.,2026-08-30 09:18
PRC_X2Y6W0X7V2V9U1C3C5B0B0Z4Y3Z8G8,2220883,산업안전보건법 일부개정법률안,배정 안됨,"고동진의원(국민의힘, 초선, 서울 강남구병) 등 11인",고동진,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2Y6W0X7V2V9U1C3C5B0B0Z4Y3Z8G8,산업 현장의 사각지대를 해소하기 위해 로봇의 정의를 명시하고 안전기준에 국제표준을 반영합니다.,2026-08-30 09:18
PRC_V2T6S0S8Q1R4Z1A3Y2W0X4V7W6R7S0,2220882,공직선거법 일부개정법률안,배정 안됨,"김영환의원(민주당, 초선, 경기 고양시정) 등 10인",김영환,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2T6S0S8Q1R4Z1A3Y2W0X4V7W6R7S0,성폭력이나 뇌물 관련 범죄로 금고 이상의 형을 선고받은 후보자의 선거비용 보전을 제한하고 유예하는 규정을 신설합니다.,2026-08-30 09:18
PRC_T2P6P0N8P1N8N1M5U5V0T1T5S2Q7Q1,2220881,공직선거법 일부개정법률안,배정 안됨,"윤건영의원(민주당, 재선, 서울 구로구을) 등 13인",윤건영,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2P6P0N8P1N8N1M5U5V0T1T5S2Q7Q1,투표용지 부족 사태에 대비해 수량을 충분히 확보하도록 하고 투표시간 연장 및 개표 기준을 명확히 합니다.,2026-08-30 09:18
PRC_Q2O6P0O8O1W8W1V5T5U1S2T4B1B9A8,2220880,선거관리위원회법 일부개정법률안,배정 안됨,"윤건영의원(민주당, 재선, 서울 구로구을) 등 13인",윤건영,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2O6P0O8O1W8W1V5T5U1S2T4B1B9A8,중앙선거관리위원회 산하 감사위원회의 설치와 운영 근거를 법률에 명시하여 독립성과 투명성을 강화합니다.,2026-08-30 09:18
PRC_Z2A6I0I8H2H0G1G1E1N7N1L2M5K9L2,2220879,어린이 식생활안전관리 특별법 일부개정법률안,배정 안됨,"고동진의원(국민의힘, 초선, 서울 강남구병) 등 10인",고동진,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2A6I0I8H2H0G1G1E1N7N1L2M5K9L2,어린이에게 고카페인 식품이 학업 능력을 높여준다고 오인하게 만드는 광고나 어린이 식품안전보호구역 내 판촉을 금지합니다.,2026-08-30 09:18
PRC_V2U6U0T8T2B6A1A7Y3Z5X2Y0U9S7T7,2220878,장애인고용촉진 및 직업재활법 일부개정법률안,배정 안됨,"김예지의원(국민의미래(前 미래한국당), 재선, 비례대표) 등 15인",김예지,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2U6U0T8T2B6A1A7Y3Z5X2Y0U9S7T7,장애인 근로자에 대한 성폭력 등 중대한 인권 침해가 발생한 표준사업장의 인증을 취소하고 피해 근로자의 고용유지를 지원합니다.,2026-08-30 09:18
PRC_S2H6Q0T8W2T8S1F1H3M9W1F4C9L1Q5,2220877,공공재정 부정청구 금지 및 부정이익 환수 등에 관한 법률 일부개정법률안,배정 안됨,정부,,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2H6Q0T8W2T8S1F1H3M9W1F4C9L1Q5,공공재정 부정청구 신고자에 대한 불이익 조치를 방지하기 위해 이행강제금과 처벌 규정을 강화합니다.,2026-08-30 09:18
PRC_L2M6K0S8T0R5S1Q7R1P1X5Y5W5W3V3,2220876,게임산업진흥에 관한 법률 일부개정법률안,배정 안됨,"김재원의원(조국혁신당, 초선, 비례대표) 등 10인",김재원,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2M6K0S8T0R5S1Q7R1P1X5Y5W5W3V3,게임사들이 건전한 범위 내에서 이벤트를 열거나 경품을 제공할 수 있도록 허용 범위를 넓히고 사행성 조장을 막기 위한 관리 기준을 마련합니다.,2026-08-30 09:18
PRC_Z2B6I0H8H1F8H1F3F1B4Z4A7Y1Z1X0,2220875,형사소송법 일부개정법률안,배정 안됨,"이상휘의원(국민의힘, 초선, 경북 포항시남구울릉군) 등 10인",이상휘,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2B6I0H8H1F8H1F3F1B4Z4A7Y1Z1X0,고위공직자와 그 가족의 부패 범죄에 대해 검사가 재판 도중 마음대로 재판을 취소하지 못하도록 하여 정치적 압력으로 인한 재판 중단을 막습니다.,2026-08-30 09:18
PRC_M2K6J0J8F2F6E1E3D5D9B1K8K9I5J0,2220874,항공사업법 일부개정법률안,배정 안됨,"윤종군의원(민주당, 초선, 경기 안성시) 등 21인",윤종군,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2K6J0J8F2F6E1E3D5D9B1K8K9I5J0,"항공사 대주주 변경 등 경영상의 중대한 변화가 예상될 경우 이를 사전에 장관에게 알리도록 하고, 결격사유가 있으면 면허 취소 등의 조치를 할 수 있게 합니다.",2026-08-30 09:18
PRC_R2S6Q0W8V1W3U0C9C4B9B2A7A4Y6Z7,2220873,고독사 예방 및 관리에 관한 법률 일부개정법률안,배정 안됨,"임종득의원(국민의힘, 초선, 경북 영주시영양군봉화군) 등 10인",임종득,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2S6Q0W8V1W3U0C9C4B9B2A7A4Y6Z7,지자체가 고독사 위험군을 체계적으로 선별하고 전기나 가스 사용량 변화 등을 활용해 위험 신호를 감지하여 고독사를 예방할 수 있는 법적 근거를 마련합니다.,2026-08-30 09:18
PRC_M2M6L0T8T2R5S1Q7R5P5X1Y7W8X3V6,2220872,지방세특례제한법 일부개정법률안,배정 안됨,"김태선의원(민주당, 초선, 울산 동구) 등 11인",김태선,2026-08-28,,입안 및 발의,입안 및 발의,심사중,,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2M6L0T8T2R5S1Q7R5P5X1Y7W8X3V6,국가유공자단체가 사용하는 부동산에 대한 취득세와 재산세 등의 감면 기한을 2029년까지 연장하여 단체의 안정적인 운영을 돕습니다.,2026-08-30 09:18
PRC_Q2O6P0N8O2M5N1V4T2U2S0T4R3N3N1,2220871,소득세법 일부개정법률안,재정경제기획위,"이용우의원(민주당, 초선, 인천 서구을) 등 10인",이용우,2026-08-27,재정경제기획위원회,상임위 심사,상임위 심사,심사중,2026-08-28,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2O6P0N8O2M5N1V4T2U2S0T4R3N3N1,위탁가정의 양육 부담을 덜어주기 위해 6세 이하 위탁아동을 보육수당 소득세 비과세 대상에 포함하려는 것입니다.,2026-08-30 09:18
PRC_C2A6B0J8J2I5G1H4F1F9N4O9M7N5M3,2220869,토양환경보전법 일부개정법률안,기후에너지환경노동위,"이용우의원(민주당, 초선, 인천 서구을) 등 10인",이용우,2026-08-27,기후에너지환경노동위원회,상임위 심사,상임위 심사,심사중,2026-08-28,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2A6B0J8J2I5G1H4F1F9N4O9M7N5M3,토양의 탄소 흡수 및 저장 기능을 강화하고 관련 기술 개발을 지원하여 기후변화 대응 목표 달성에 기여하려는 것입니다.,2026-08-30 09:18
PRC_S2Q6R0P7N2O3W1X7V2V0U3S3T9P0P0,2220868,신행정수도 후속대책을 위한 연기·공주지역 행정중심복합도시 건설을 위한 특별법 일부개정법률안,국토위,"이광희의원(민주당, 초선, 충북 청주시서원구) 등 12인",이광희,2026-08-27,국토교통위원회,상임위 심사,상임위 심사,심사중,2026-08-28,,,,,,,https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2Q6R0P7N2O3W1X7V2V0U3S3T9P0P0,"행정중심복합도시의 효율적인 정책 조정을 위해 성평등가족부를 이전 제외 대상에서 제외하고, 기관 간 협업 강화 방안을 이전계획에 포함하려는 것입니다.",2026-08-30 09:18
