법령명,법령약칭,법령구분,조문,유형,개정일,위반요건,형벌_징역,형벌_벌금,과태료,과징금,산정기준별표,산정기준상세,최종수집일
할부거래에 관한 법률,할부거래법,법률,제48조(벌칙),벌칙(형사처벌),20270909,"제48조(벌칙) ① 다음 각 호의 어느 하나에 해당하는 자는 3년 이하의 징역 또는 1억원 이하의 벌금에 처한다. 이 경우 다음 각 호의 어느 하나에 해당하는 자가 해당 법 위반행위와 관련하여 판매 또는 거래한 대금 총액의 3배에 상당하는 금액이 1억원을 초과하는 때에는 3년 이하의 징역 또는 판매하거나 거래한 대금 총액의 3배에 상당하는 금액 이하의 벌금에 처한다. <개정 2015.7.24, 2026.9.8> 1. 제18조제1항을 위반하여 등록을 하지 아니하고(제40조제2항에 따라 등록이 취소된 경우를 포함한다) 선불식 할부거래업을 하는 자 2. 거짓이나 그 밖의 부정한 방법으로 제18조제1항에 따른 등록을 하고 선불식 할부거래업을 하는 자(제34조제7호의 금지행위를 한 자를 포함한다) 3. 제34조제17호 또는 제18호의 금지행위를 한 자 3의2. 제34조의2제1항을 위반하여 신용공여를 하거나 받은 자 4. 제39조제1항에 따른 시정조치 명령에 응하지 아니한 자 5. 제40조제1항에 따른 영업정지 명령을 위반하여 영업을 한 자 ② 제1항의 징역형과 벌금형은 병과(倂科)할 수 있다.",3년 이하의 징역,1억원 이하의 벌금,,,,,2026-09-26 06:25
소비자기본법,소비자기본법,법률,제85조(양벌규정),양벌규정,20260911,"제85조(양벌규정) 법인의 대표자나 법인 또는 개인의 대리인, 사용인, 그 밖의 종업원이 그 법인 또는 개인의 업무에 관하여 제84조의 위반행위를 하면 그 행위자를 벌하는 외에 그 법인 또는 개인에게도 해당 조문의 벌금형을 과(科)한다. 다만, 법인 또는 개인이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.",,,,,,,2026-09-26 06:25
소비자기본법 시행령,소비자기본법 시행령,대통령령,제33조(벌칙 적용 시의 공무원 의제),벌칙(형사처벌),20260911,"제33조(벌칙 적용 시의 공무원 의제) 법 제43조에서 ""대통령령이 정하는 직원""이란 법 제35조제1항제2호ㆍ제5호 및 법 제52조제1항ㆍ제2항의 업무에 종사하는 직원을 말한다.",,,,,,,2026-09-26 06:25
소비자기본법 시행령,소비자기본법 시행령,대통령령,제69조(과태료의 부과기준),과태료,20260911,제69조(과태료의 부과기준) 법 제86조제1항에 따른 과태료의 부과기준은 별표 2와 같다.,,,,,소비자단체 등록증,"[소비자단체 등록증]
■ 소비자기본법 시행령 [별지 제2호서식] <신설 2015.8.11.> ┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓ ┃ ┃ ┃ 등 록 번 호 제 호 ┃ ┃ ┃ ┃ ┃ ┃소비자단체 등록증 ┃ ┃ ┃ ┃ ┃ ┃ 1. 명칭: ┃ ┃ ┃ ┃ 2. 주된 사무소의 소재지: ┃ ┃ ┃ ┃ 3. 대표자 성명: ┃ ┃ ┃ ┃ 4. 주된 사업내용: ┃ ┃ ┃ ┃ ┃ ┃ 「소비자기본법」제29조 및 같은 법 시행령 제23조에 따라 위와 같이 등록┃ ┃하였음을 증명합니다. ┃ ┃ ┃ ┃ 년 월 일 ┃ ┃ ┃ ┃ ┏━━┓ ┃ ┃ 공정거래위원회 또는 ┃직인┃ ┃ ┃ 특별시장ㆍ광역시장 ┃ ┃ ┃ ┃ 도지사ㆍ특별자치도지사┃ ┃ ┃ ┃ ┗━━┛ ┃ ┃ ┃ ┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛ 210mm×297mm[백상지 150g/㎡]",2026-09-26 06:25
소비자기본법,소비자기본법,법률,제86조(과태료),과태료,20260911,"제86조(과태료) ①다음 각 호의 어느 하나에 해당하는 자는 3천만원 이하의 과태료에 처한다. <개정 2017.10.31, 2018.12.31> 1. 제20조의 규정을 위반한 자 2. 제37조의 규정을 위반하여 동일 또는 유사명칭을 사용한 자 3. 제47조제1항의 규정을 위반하여 보고의무를 이행하지 아니하거나 거짓으로 이행한 자 4. 제77조제1항 또는 제3항의 규정에 따른 검사ㆍ시료수거ㆍ출입을 거부ㆍ방해ㆍ기피한 자, 업무에 관한 보고를 하지 아니하거나 거짓으로 보고한 자 또는 관계 물품ㆍ서류 등을 제출하지 아니하거나 거짓으로 제출한 자 ②제1항의 규정에 따른 과태료는 대통령령으로 정하는 바에 따라 중앙행정기관의 장 또는 시ㆍ도지사가 부과ㆍ징수한다. <개정 2010.3.22> ③ 삭제 <2010.3.22> ④ 삭제 <2010.3.22> ⑤ 삭제 <2010.3.22> ⑥ 삭제 <2010.3.22>",,,3천만원 이하의 과태료,,,,2026-09-26 06:25
소비자기본법,소비자기본법,법률,제43조(벌칙 적용에서 공무원 의제),벌칙(형사처벌),20260911,제43조(벌칙 적용에서 공무원 의제) 다음 각 호의 어느 하나에 해당하는 사람은 「형법」 제129조부터 제132조까지의 규정에 따른 벌칙을 적용할 때에는 공무원으로 본다. 1. 한국소비자원의 임원 2. 제35조제1항제2호ㆍ제5호의 업무에 종사하는 직원 3. 제52조제1항ㆍ제2항의 업무에 종사하는 직원 4. 제60조에 따른 소비자분쟁조정위원회의 위원,,,,,,,2026-09-26 06:25
소비자기본법,소비자기본법,법률,제84조(벌칙),벌칙(형사처벌),20260911,"제84조(벌칙) ①다음 각 호의 어느 하나에 해당하는 자는 3년 이하의 징역 또는 5천만원 이하의 벌금에 처한다. <개정 2018.12.31> 1. 제50조 또는 제80조의 규정에 따른 명령을 위반한 자 2. 제77조제5항(제83조제3항의 규정에 따라 준용되는 경우를 포함한다)의 규정을 위반하여 검사 등으로 알게 된 내용을 이 법의 시행을 위한 목적이 아닌 용도로 사용한 자 3. 제78조제5항의 규정을 위반하여 제공된 자료 및 정보를 사용목적이 아닌 용도 또는 사용절차가 아닌 방법으로 사용한 자 ②제52조제5항 본문을 위반하여 위해정보에 관한 사항을 누설한 자는 1년 이하의 징역 또는 3천만원 이하의 벌금에 처한다. <개정 2018.3.13, 2026.3.10> ③제1항의 경우에 징역형과 벌금형은 이를 병과(倂科)할 수 있다.",3년 이하의 징역 / 1년 이하의 징역,5천만원 이하의 벌금 / 3천만원 이하의 벌금,,,,,2026-09-26 06:25
상법,상법,법률,제86조의9(과태료),과태료,20260910,"제86조의9(과태료) 합자조합의 업무집행조합원, 제86조의8에 따라 준용되는 제183조의2 또는 제253조에 따른 직무대행자 또는 청산인이 이 장(章)에서 정한 등기를 게을리한 경우에는 500만원 이하의 과태료를 부과한다.",,,500만원 이하의 과태료,,,,2026-09-26 06:25
상법,상법,법률,제634조의3(양벌규정),양벌규정,20260910,"제634조의3(양벌규정) 회사의 대표자나 대리인, 사용인, 그 밖의 종업원이 그 회사의 업무에 관하여 제624조의2의 위반행위를 하면 그 행위자를 벌하는 외에 그 회사에도 해당 조문의 벌금형을 과(科)한다. 다만, 회사가 제542조의13에 따른 의무를 성실히 이행한 경우 등 회사가 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다. <개정 2011.4.14>",,,,,,,2026-09-26 06:25
상법,상법,법률,제635조(과태료에 처할 행위),과태료,20260910,"제635조(과태료에 처할 행위) ① 회사의 발기인, 설립위원, 업무집행사원, 업무집행자, 이사, 집행임원, 감사, 감사위원회 위원, 외국회사의 대표자, 검사인, 제298조제3항ㆍ제299조의2ㆍ제310조제3항 또는 제313조제2항의 공증인, 제299조의2ㆍ제310조제3항 또는 제422조제1항의 감정인, 지배인, 청산인, 명의개서대리인, 사채모집을 위탁받은 회사와 그 사무승계자 또는 제386조제2항ㆍ제407조제1항ㆍ제415조ㆍ제542조제2항 또는 제567조의 직무대행자가 다음 각 호의 어느 하나에 해당하는 행위를 한 경우에는 500만원 이하의 과태료를 부과한다. 다만, 그 행위에 대하여 형(刑)을 과(科)할 때에는 그러하지 아니하다. <개정 2011.4.14> 1. 이 편(編)에서 정한 등기를 게을리한 경우 2. 이 편에서 정한 공고 또는 통지를 게을리하거나 부정(不正)한 공고 또는 통지를 한 경우 3. 이 편에서 정한 검사 또는 조사를 방해한 경우 4. 이 편의 규정을 위반하여 정당한 사유 없이 서류의 열람 또는 등사, 등본 또는 초본의 발급을 거부한 경우 5. 관청, 총회, 사채권자집회 또는 발기인에게 부실한 보고를 하거나 사실을 은폐한 경우 6. 주권, 채권 또는 신주인수권증권에 적을 사항을 적지 아니하거나 부실하게 적은 경우 7. 정당한 사유 없이 주권의 명의개서를 하지 아니한 경우 8. 법률 또는 정관에서 정한 이사 또는 감사의 인원수를 궐(闕)한 경우에 그 선임절차를 게을리한 경우 9. 정관ㆍ주주명부 또는 그 복본(複本), 사원명부ㆍ사채원부 또는 그 복본, 의사록, 감사록, 재산목록, 대차대조표, 영업보고서, 사무보고서, 손익계산서, 그 밖에 회사의 재무상태와 경영성과를 표시하는 것으로서 제287조의33 및 제447조제1항제3호에 따라 대통령령으로 정하는 서류, 결산보고서, 회계장부, 제447조ㆍ제534조ㆍ제579조제1항 또는 제613조제1항의 부속명세서 또는 감사보고서에 적을 사항을 적지 아니하거나 부실하게 적은 경우 10. 법원이 선임한 청산인에 대한 사무의 인계(引繼)를 게을리하거나 거부한 경우 11. 청산의 종결을 늦출 목적으로 제247조제3항, 제535조제1항 또는 제613조제1항의 기간을 부당하게 장기간으로 정한 경우 12. 제254조제4항, 제542조제1항 또는 제613조제1항을 위반하여 파산선고 청구를 게을리한 경우 13. 제589조제2항을 위반하여 출자의 인수인을 공모한 경우 14. 제232조, 제247조제3항, 제439조제2항, 제527조의5, 제530조제2항, 제530조의9제4항, 제530조의11제2항, 제597조, 제603조 또는 제608조를 위반하여 회사의 합병ㆍ분할ㆍ분할합병 또는 조직변경, 회사재산의 처분 또는 자본금의 감소를 한 경우 15. 제260조, 제542조제1항 또는 제613조제1항을 위반하여 회사재산을 분배한 경우 16. 제302조제2항, 제347조, 제420조, 제420조의2, 제474조제2항 또는 제514조을 위반하여 주식청약서, 신주인수권증서 또는 사채청약서를 작성하지 아니하거나 이에 적을 사항을 적지 아니하거나 또는 부실하게 적은 경우 17. 제342조 또는 제560조제1항을 위반하여 주식 또는 지분의 실효 절차, 주식 또는 지분의 질권 처분을 게을리한 경우 18. 제343조제1항 또는 제560조제1항을 위반하여 주식 또는 출자를 소각한 경우 19. 제355조제1항ㆍ제2항 또는 제618조를 위반하여 주권을 발행한 경우 20. 제358조의2제2항을 위반하여 주주명부에 기재를 하지 아니한 경우 21. 제363조의2제1항, 제542조제2항 또는 제542조의6제2항을 위반하여 주주가 제안한 사항을 주주총회의 목적사항으로 하지 아니한 경우 22. 제365조제1항ㆍ제2항, 제578조, 제467조제3항, 제582조제3항에 따른 법원의 명령을 위반하여 주주총회를 소집하지 아니하거나, 정관으로 정한 곳 외의 장소에서 주주총회를 소집하거나, 제363조, 제364조, 제571조제2항ㆍ제3항을 위반하여 주주총회를 소집한 경우 23. 제374조제2항, 제530조제2항 또는 제530조의11제2항을 위반하여 주식매수청구권의 내용과 행사방법을 통지 또는 공고하지 아니하거나 부실한 통지 또는 공고를 한 경우 24. 제287조의34제1항, 제396조제1항, 제448조제1항, 제510조제2항, 제522조의2제1항, 제527조의6제1항, 제530조의7, 제534조제3항, 제542조제2항, 제566조제1항, 제579조의3, 제603조 또는 제613조를 위반하여 장부 또는 서류를 갖추어 두지 아니한 경우 25. 제412조의5제3항을 위반하여 정당한 이유 없이 감사 또는 감사위원회의 조사를 거부한 경우 26. 제458조부터 제460조까지 또는 제583조를 위반하여 준비금을 적립하지 아니하거나 이를 사용한 경우 27. 제464조의2제1항의 기간에 배당금을 지급하지 아니한 경우 28. 제478조제1항 또는 제618조를 위반하여 채권을 발행한 경우 29. 제536조 또는 제613조제1항을 위반하여 채무 변제를 한 경우 30. 제542조의5를 위반하여 이사 또는 감사를 선임한 경우 31. 제555조를 위반하여 지분에 대한 지시식 또는 무기명식의 증권을 발행한 경우 32. 제619조제1항에 따른 법원의 명령을 위반한 경우 ② 발기인, 이사 또는 집행임원이 주권의 인수로 인한 권리를 양도한 경우에도 제1항과 같다. <개정 2011.4.14> ③ 제1항 각 호 외의 부분에 규정된 자가 다음 각 호의 어느 하나에 해당하는 행위를 한 경우에는 5천만원 이하의 과태료를 부과한다. <신설 2009.1.30, 2025.7.22> 1. 제542조의8제1항을 위반하여 독립이사 선임의무를 이행하지 아니한 경우 2. 제542조의8제4항을 위반하여 독립이사 후보추천위원회를 설치하지 아니하거나 독립이사가 총위원의 2분의 1 이상이 되도록 독립이사 후보추천위원회를 구성하지 아니한 경우 3. 제542조의8제5항에 따라 독립이사를 선임하지 아니한 경우 4. 제542조의9제3항을 위반하여 이사회 승인 없이 거래한 경우 5. 제542조의11제1항을 위반하여 감사위원회를 설치하지 아니한 경우 6. 제542조의11제2항을 위반하여 제415조의2제2항 및 제542조의11제2항 각 호의 감사위원회의 구성요건에 적합한 감사위원회를 설치하지 아니한 경우 7. 제542조의11제4항제1호 및 제2호를 위반하여 감사위원회가 제415조의2제2항 및 제542조의11제2항 각 호의 감사위원회의 구성요건에 적합하도록 하지 아니한 경우 8. 제542조의12제2항을 위반하여 감사위원회위원의 선임절차를 준수하지 아니한 경우 ④ 제1항 각 호 외의 부분에 규정된 자가 다음 각 호의 어느 하나에 해당하는 행위를 한 경우에는 1천만원 이하의 과태료를 부과한다. <신설 2009.1.30, 2025.9.9> 1. 제542조의4에 따른 주주총회 소집의 통지ㆍ공고를 게을리하거나 부정한 통지 또는 공고를 한 경우 2. 제542조의12제5항을 위반하여 의안을 별도로 상정하여 의결하지 아니한 경우",,,500만원 이하의 과태료 / 5천만원 이하의 과태료 / 1천만원 이하의 과태료,,,,2026-09-26 06:25
상법,상법,법률,제637조(법인에 대한 벌칙의 적용),벌칙(형사처벌),20260910,"제637조(법인에 대한 벌칙의 적용) 제622조, 제623조, 제625조, 제627조, 제628조 또는 제630조제1항에 규정된 자가 법인인 경우에는 이 장의 벌칙은 그 행위를 한 이사, 집행임원, 감사, 그 밖에 업무를 집행한 사원 또는 지배인에게 적용한다.",,,,,,,2026-09-26 06:25
상법,상법,법률,제637조의2(과태료의 부과ㆍ징수),과태료,20260910,"제637조의2(과태료의 부과ㆍ징수) ① 제635조(제1항제1호는 제외한다) 또는 제636조에 따른 과태료는 대통령령으로 정하는 바에 따라 법무부장관이 부과ㆍ징수한다. ② 제1항에 따른 과태료 처분에 불복하는 자는 그 처분을 고지받은 날부터 60일 이내에 법무부장관에게 이의를 제기할 수 있다. ③ 제1항에 따른 과태료 처분을 받은 자가 제2항에 따라 이의를 제기한 때에는 법무부장관은 지체 없이 관할 법원에 그 사실을 통보하여야 하며, 그 통보를 받은 관할 법원은 「비송사건절차법」에 따른 과태료 재판을 한다. ④ 제2항에서 규정하는 기간 내에 이의를 제기하지 아니하고 과태료를 납부하지 아니한 때에는 국세 체납처분의 예에 따라 징수한다.",,,,,,,2026-09-26 06:25
